cluster,n,members,mean_FV,mean_MF,mean_SV,mean_EX,mean_LL,mean_ISEE
1,8,USA-Cu; AUS-Cu; AUS-Li; CHL-Li; CAN-Ni; AUS-Ni; AUS-Co; CAN-Co,0.035,0.935,0.102,0.319,0.050,+0.141
2,8,IDN-Cu; MEX-Cu; KAZ-Cu; ZWE-Li; PHL-Ni; IDN-Co; CUB-Co; PHL-Co,0.045,0.411,0.049,0.731,0.708,-0.187
3,3,COD-Cu; ZMB-Cu; COD-Co,0.516,0.125,0.054,0.031,0.850,-0.037
4,7,PER-Cu; RUS-Cu; ARG-Li; BRA-Li; RUS-Ni; BRA-Ni; RUS-Co,0.080,0.351,0.059,0.225,0.593,-0.066
5,1,CHL-Cu,0.711,0.731,0.063,0.264,0.253,+0.197
6,3,CHN-Cu; CHN-Li; IDN-Ni,0.206,0.562,0.656,0.761,0.734,-0.014
