system,n_rank1,w_FV_mean,w_MF_mean,w_SV_mean,w_EX_mean,w_LL_mean,w_FV_10_90,w_MF_10_90,w_SV_10_90,w_EX_10_90,w_LL_10_90,rho_mean,rho_median,rho_10_90,expected_rank,rank_entropy
Chile,15694,0.231,0.189,0.171,0.211,0.197,"[0.04, 0.47]","[0.03, 0.41]","[0.03, 0.35]","[0.03, 0.45]","[0.03, 0.42]",-0.25,-0.34,"[-1.68, 1.37]",1.23,0.410
Australia,2161,0.062,0.331,0.124,0.165,0.317,"[0.01, 0.14]","[0.06, 0.62]","[0.02, 0.27]","[0.02, 0.35]","[0.06, 0.60]",1.17,1.30,"[0.28, 1.88]",2.54,0.895
Indonesia,1865,0.129,0.147,0.523,0.089,0.111,"[0.02, 0.28]","[0.02, 0.33]","[0.39, 0.68]","[0.01, 0.21]","[0.01, 0.25]",0.45,0.60,"[-1.06, 1.67]",2.66,0.920
DR Congo,280,0.079,0.074,0.121,0.642,0.084,"[0.01, 0.17]","[0.01, 0.16]","[0.01, 0.27]","[0.51, 0.77]","[0.01, 0.19]",1.40,1.55,"[0.71, 1.92]",3.57,0.620
