specification,Chile,Australia,Indonesia,DR Congo,"weights (FV, MF, SV, EX, LL)"
"Equal weights, additive (baseline)",+0.220 (1),+0.137 (2),+0.111 (3),-0.129 (4),"0.200, 0.200, 0.200, 0.200, 0.200"
"Entropy weights (reference sample), additive",+0.435 (1),+0.103 (3),+0.421 (2),-0.006 (4),"0.347, 0.094, 0.347, 0.091, 0.121"
"CRITIC weights (reference sample), additive",+0.131 (1),+0.111 (2),+0.011 (3),-0.145 (4),"0.160, 0.207, 0.170, 0.260, 0.203"
"Equal weights, geometric",+0.606 (1),+0.425 (3),+0.491 (2),+0.219 (4),"0.200, 0.200, 0.200, 0.200, 0.200"
